LAST_NAME,ROSTER_FIRST_NAME,BAM_ID
Altavilla,Dan,656186
Gomber,Austin,596295
Honeywell Jr,Brent,641703
Smith,Riley,642092
Foster,Matt,641582
Yarbrough,Ryan,642232
Kikuchi,Yusei,579328
Allard,Kolby,663465
Ginkel,Kevin,656464
Lowe,Brandon,664040
Lopez,Yoan,661255
Alcala,Jorge,660896
Smith,Will,669257
Lawrence,Justin,664875
Zimmermann,Bruce,669145
