,PITCH,PITCHER,RELSPEED
430,FA,"Scrubb, Andre",93.96910714285715
431,FA,"Selman, Sam",91.36722727272728
432,FA,"Senzatela, Antonio",93.08008
433,FA,"Sheffield, Jordan",97.18629533333333
434,FA,"Shoemaker, Matthew",90.84448380952381
435,FA,"Sims, Luke",94.44275222222223
436,FA,"Singer, Brady",93.9225559375
437,FA,"Smeltzer, Devin",85.87857904761904
438,FA,"Smith, Caleb",91.27646697674419
439,FA,"Smith, Riley",92.859421875
440,FA,"Snell, Blake",95.21684832116789
441,FA,"Soria, Joakim",93.91988555555555
442,FA,"Springs, Jeffrey",93.7131375
443,FA,"Stammen, Craig",91.54468888888889
444,FA,"Stashak, Cody",90.94967349999999
445,FA,"Steckenrider, Drew",92.93784772727273
446,FA,"Stephenson, Robert",96.92469454545454
447,FA,"Strickland, Hunter",95.3685748275862
448,FA,"Sulser, Cole",92.77992833333333
449,FA,"Swarzak, Anthony",93.66885666666667
450,FA,"Taylor, Josh",93.54594256410256
451,FA,"Thielbar, Caleb",92.06935666666668
452,FA,"Thompson, Ryan",92.67655666666667
453,FA,"Thornton, Trent",89.57685857142857
454,FA,"Treinen, Blake",99.36898
455,FA,"Trivino, Lou",95.695742
456,FA,"Underwood Jr., Duane",92.14243375
457,FA,"Valdez, Cesar",86.65861
458,FA,"Valdez, Phillips",92.10362047619049
459,FA,"Vest, Will",94.02457333333332
460,FA,"Wacha, Michael",93.3120511111111
461,FA,"Waddell, Brandon",92.4835811111111
462,FA,"Watson, Tony",91.60747333333332
463,FA,"Weathers, Ryan",94.52293052631579
464,FA,"Weaver, Luke",93.64453153225807
465,FA,"Webb, Logan",93.32888666666666
466,FA,"Wells, Tyler",94.22011433333334
467,FA,"Whitlock, Garrett",95.28563390804598
468,FA,"Widener, Taylor",93.06722500000001
469,FA,"Williams, Taylor",95.58661166666667
470,FA,"Wisler, Matthew",92.30341
471,FA,"Yarbrough, Ryan",86.69423358974359
472,FA,"Young, Alex",92.02685857142856
473,FA,"Zimmermann, Bruce",91.89143250000001
474,FA,"Zuber, Tyler",95.502662
475,FC,"Allard, Kolby",86.45326258064516
476,FC,"Bassitt, Chris",89.46352565217391
477,FC,"Bauer, Trevor",85.3468651851852
